Цена;Площадь_участка;Площадь_помещения;Стоимость_специальных_возможностей;Расстояние_до_ближайшей_железнодорожной_линии;Расстояние_до_океана;Расстояние_до_ближайшего_водоема_;Расстояние_до_центрального_делового_района_Майами;Расстояние_до_ближайшего_субцентра;Расстояние_до_ближайшего_шоссе;Возраст_строения;Шум_от_самолетов;Месяц_продажи;Качество_строения
440000;9375;1753;0;2816;12811;348;42815;37742;15955;67;0;8;4
349000;9375;1715;0;4359;10648;338;43505;37341;18125;63;0;9;4
800000;9375;2276;49206;4413;10574;297;43530;37329;18201;61;0;2;4
988000;12450;2058;10033;4585;10157;0;43798;37423;18514;63;0;9;4
755000;12800;1684;16681;4063;10837;327;43600;37551;17903;42;0;7;4
630000;9900;1531;2978;2391;13017;189;43135;38176;15687;41;0;2;4
1020000;10387;1753;23116;3277;11668;0;43599;37974;17068;63;0;2;5
850000;10272;1663;34933;3112;11718;45422;43781;38198;16990;21;0;9;4
250000;9375;1493;11668;2082;13044;52;43482;38542;15623;56;0;3;4
1220000;13803;3077;34580;2938;11918;45482;43730;38235;16787;63;0;11;5
1160000;10848;1983;28806;3512;11062;45303;44019;38132;17618;64;0;2;4
260000;8438;1794;0;243;15310;739;43128;39333;13434;51;0;11;2
178000;8438;1509;1248;652;14809;367;43245;39200;13927;56;0;7;2
250000;8438;1331;0;705;14750;353;43261;39185;13995;66;0;7;2
913500;8475;1742;9836;2433;12231;0;44048;38728;16494;46;0;9;5
159000;8375;1158;2677;164;15184;538;43468;39609;13556;65;0;11;2
199000;8375;1064;6730;209;15119;473;43481;39592;13615;48;0;6;2
590000;9375;2574;37975;1848;12871;42;44007;38994;15786;62;0;10;4
450000;10625;1529;3607;1806;12841;43;44082;39059;15809;61;0;2;4
1870000;10875;4552;35124;3254;10645;0;44898;38842;18008;8;0;3;5
1067300;10875;3137;15972;3200;10645;0;44969;38915;18007;31;0;5;5
1056000;8550;2266;34952;2659;11301;0;44915;39160;17422;42;0;12;5
900000;18745;3992;22191;4622;8524;81;45894;38872;20106;59;0;9;5
1015000;12315;1920;34340;2395;11329;0;45179;39419;17353;21;0;5;5
1235000;9375;2931;30962;3663;9665;0;45723;39196;19070;58;0;8;5
1587500;12500;4428;41032;4816;8227;0;46199;39023;20456;16;0;6;5
1265000;9375;3313;23278;4258;8853;0;46060;39174;19836;55;0;1;5
2450000;9375;4028;62453;3524;9673;45508;45931;39416;19069;2;0;1;5
980000;9375;3083;39782;3585;9599;45448;45956;39406;19145;57;0;6;5
1130000;9375;2650;4946;2835;10373;0;45903;39737;18331;60;0;8;5
